Age,p3,p5,p10,p25,p50,75,p95
5,11.9,12.1,12.5,13.3,14.3,15.5,18
5.5,11.9,12.2,12.6,13.4,14.4,15.7,18.3
6,12,12.2,12.7,13.5,14.5,15.9,18.6
6.5,12.1,12.3,12.8,13.6,14.7,16.1,18.9
7,12.1,12.4,12.8,13.7,14.9,16.4,19.3
7.5,12.2,12.5,12.9,13.9,15.1,16.6,19.7
8,12.3,12.6,13.1,14,15.3,16.9,20.1
8.5,12.3,12.7,13.2,14.2,15.6,17.2,20.5
9,12.4,12.8,13.3,14.4,15.8,17.6,21
9.5,12.5,12.9,13.5,14.6,16.1,18,21.4
10,12.7,13.1,13.7,14.9,16.5,18.4,21.9
10.5,12.8,13.2,13.9,15.2,16.8,18.8,22.5
11,13,13.4,14.1,15.5,17.2,19.3,23
11.5,13.2,13.7,14.4,15.8,17.6,19.8,23.6
12,13.4,13.9,14.7,16.1,18,20.2,24.1
12.5,13.7,14.2,15,16.5,18.4,20.7,24.7
13,13.9,14.4,15.2,16.8,18.8,21.1,25.2
13.5,14.1,14.6,15.5,17.1,19.1,21.5,25.6
14,14.3,14.9,15.7,17.3,19.4,21.8,25.9
14.5,14.5,15.1,16,17.6,19.7,22,26.2
15,14.7,15.2,16.1,17.8,19.9,22.3,26.3
15.5,14.9,15.4,16.3,18,20.1,22.4,26.4
16,15,15.6,16.5,18.2,20.3,22.6,26.5
16.5,15.2,15.8,16.7,18.4,20.4,22.8,26.6
17,15.4,16,16.9,18.6,20.6,22.9,26.7
17.5,15.5,16.1,17.1,18.7,20.8,23.1,26.7
18,15.7,16.3,17.3,18.9,21,23.2,26.8
