Age	p3	p5	p10	p25	p50	p71	p90
5	12.1	12.4	12.8	13.6	14.7	15.7	17.5
5.5	12.2	12.4	12.9	13.7	14.8	15.8	17.6
6	12.2	12.5	12.9	13.7	14.9	16	17.8
6.5	12.3	12.5	13	13.8	15	16.1	18
7	12.3	12.6	13.1	13.9	15.1	16.3	18.2
7.5	12.4	12.7	13.2	14.1	15.3	16.5	18.5
8	12.5	12.8	13.3	14.2	15.5	16.7	18.8
8.5	12.6	12.9	13.4	14.4	15.7	17	19.2
9	12.7	13	13.5	14.5	15.9	17.3	19.6
9.5	12.8	13.1	13.7	14.7	16.2	17.6	20.1
10	12.9	13.2	13.8	14.9	16.4	18	20.5
10.5	13	13.3	14	15.1	16.7	18.3	21
11	13.1	13.5	14.1	15.4	17	18.7	21.5
11.5	13.2	13.6	14.3	15.6	17.3	19.1	22.1
12	13.3	13.8	14.5	15.8	17.7	19.5	22.6
12.5	13.5	13.9	14.6	16	17.9	19.8	23
13	13.6	14	14.8	16.3	18.2	20.2	23.4
13.5	13.7	14.2	14.9	16.5	18.5	20.5	23.8
14	13.8	14.3	15.1	16.7	18.7	20.8	24.2
14.5	14	14.5	15.3	16.9	19	21.1	24.5
15	14.2	14.7	15.5	17.2	19.3	21.4	24.9
15.5	14.4	14.9	15.8	17.4	19.6	21.7	25.2
16	14.6	15.1	16	17.7	19.9	22	25.5
16.5	14.9	15.4	16.3	18	20.2	22.4	25.8
17	15.1	15.6	16.6	18.3	20.5	22.6	26
17.5	15.4	15.9	16.8	18.6	20.8	22.9	26.3
18	15.6	16.2	17.1	18.9	21.1	23.2	26.6
