Year: Month,Month,L,M,S,1st,3rd,5th,15th,25th,50th,75th,85th,95th,97th,99th
00:03,3,0.1875,9.7516,0.17535,6.4,6.9,7.2,8.1,8.7,9.8,11,11.7,12.9,13.4,14.4
00:04,4,0.1256,9.5866,0.18337,6.2,6.7,7,7.9,8.5,9.6,10.8,11.6,12.9,13.4,14.5
00:05,5,0.0761,9.3716,0.19007,6,6.5,6.8,7.7,8.2,9.4,10.6,11.4,12.8,13.3,14.5
00:06,6,0.0349,9.1194,0.1954,5.8,6.3,6.6,7.4,8,9.1,10.4,11.2,12.6,13.1,14.3
00:07,7,-0.0003,8.8621,0.19934,5.6,6.1,6.4,7.2,7.7,8.9,10.1,10.9,12.3,12.9,14.1
00:08,8,-0.0307,8.6228,0.20192,5.4,5.9,6.2,7,7.5,8.6,9.9,10.6,12,12.6,13.8
00:09,9,-0.0572,8.4164,0.20339,5.3,5.8,6,6.8,7.3,8.4,9.7,10.4,11.8,12.4,13.6
00:10,10,-0.0799,8.2468,0.20413,5.2,5.7,5.9,6.7,7.2,8.2,9.5,10.2,11.6,12.2,13.4
00:11,11,-0.0995,8.1114,0.20442,5.1,5.6,5.8,6.6,7.1,8.1,9.3,10,11.4,12,13.2
01:00,12,-0.1161,8.0042,0.20445,5,5.5,5.8,6.5,7,8,9.2,9.9,11.3,11.9,13.1
01:01,13,-0.1303,7.9197,0.20432,5,5.4,5.7,6.4,6.9,7.9,9.1,9.8,11.2,11.7,12.9
01:02,14,-0.1424,7.8538,0.20409,5,5.4,5.7,6.4,6.9,7.9,9,9.7,11.1,11.7,12.8
01:03,15,-0.1527,7.8041,0.20384,4.9,5.4,5.6,6.3,6.8,7.8,9,9.7,11,11.6,12.8
01:04,16,-0.1615,7.7681,0.20363,4.9,5.4,5.6,6.3,6.8,7.8,8.9,9.6,11,11.5,12.7
01:05,17,-0.169,7.7443,0.2035,4.9,5.3,5.6,6.3,6.8,7.7,8.9,9.6,10.9,11.5,12.7
01:06,18,-0.1755,7.7315,0.2035,4.9,5.3,5.6,6.3,6.8,7.7,8.9,9.6,10.9,11.5,12.7
01:07,19,-0.1811,7.7287,0.20364,4.9,5.3,5.6,6.3,6.7,7.7,8.9,9.6,10.9,11.5,12.7
01:08,20,-0.1859,7.7347,0.20393,4.9,5.3,5.6,6.3,6.8,7.7,8.9,9.6,10.9,11.5,12.7
01:09,21,-0.1901,7.7484,0.20437,4.9,5.3,5.6,6.3,6.8,7.7,8.9,9.6,11,11.5,12.8
01:10,22,-0.1939,7.7692,0.20496,4.9,5.4,5.6,6.3,6.8,7.8,8.9,9.7,11,11.6,12.8
01:11,23,-0.1973,7.7958,0.20568,4.9,5.4,5.6,6.3,6.8,7.8,9,9.7,11.1,11.7,12.9
02:00,24,-0.2004,7.8273,0.20652,4.9,5.4,5.6,6.3,6.8,7.8,9,9.7,11.1,11.7,13
02:01,25,-0.2032,7.8628,0.20748,5,5.4,5.7,6.4,6.8,7.9,9.1,9.8,11.2,11.8,13.1
02:02,26,-0.2058,7.9006,0.20855,5,5.4,5.7,6.4,6.9,7.9,9.1,9.9,11.3,11.9,13.2
02:03,27,-0.2081,7.9396,0.20971,5,5.4,5.7,6.4,6.9,7.9,9.2,9.9,11.4,12,13.3
02:04,28,-0.2103,7.9786,0.21096,5,5.5,5.7,6.4,6.9,8,9.2,10,11.4,12.1,13.4
02:05,29,-0.2122,8.0167,0.21228,5,5.5,5.7,6.5,7,8,9.3,10,11.5,12.2,13.5
02:06,30,-0.214,8.0535,0.21366,5,5.5,5.7,6.5,7,8.1,9.3,10.1,11.6,12.3,13.6
02:07,31,-0.2155,8.0887,0.21509,5,5.5,5.8,6.5,7,8.1,9.4,10.2,11.7,12.4,13.7
02:08,32,-0.217,8.1224,0.21657,5,5.5,5.8,6.5,7,8.1,9.4,10.2,11.8,12.4,13.8
02:09,33,-0.2183,8.1545,0.21809,5,5.5,5.8,6.5,7.1,8.2,9.5,10.3,11.8,12.5,14
02:10,34,-0.2195,8.1855,0.21964,5,5.5,5.8,6.6,7.1,8.2,9.5,10.3,11.9,12.6,14.1
02:11,35,-0.2207,8.2156,0.22122,5,5.5,5.8,6.6,7.1,8.2,9.6,10.4,12,12.7,14.2
03:00,36,-0.2217,8.245,0.22282,5,5.5,5.8,6.6,7.1,8.2,9.6,10.5,12.1,12.8,14.3
03:01,37,-0.2227,8.2738,0.22444,5,5.5,5.8,6.6,7.1,8.3,9.7,10.5,12.2,12.9,14.4
03:02,38,-0.2237,8.3019,0.22608,5,5.5,5.8,6.6,7.1,8.3,9.7,10.6,12.2,13,14.5
03:03,39,-0.2246,8.3294,0.22772,5,5.5,5.8,6.6,7.2,8.3,9.7,10.6,12.3,13.1,14.6
03:04,40,-0.2254,8.356,0.22937,5,5.5,5.8,6.6,7.2,8.4,9.8,10.7,12.4,13.2,14.8
03:05,41,-0.2262,8.3818,0.23101,5,5.5,5.8,6.6,7.2,8.4,9.8,10.7,12.5,13.2,14.9
03:06,42,-0.227,8.4068,0.23264,5,5.5,5.8,6.6,7.2,8.4,9.9,10.8,12.5,13.3,15
03:07,43,-0.2278,8.4311,0.23427,5,5.5,5.8,6.7,7.2,8.4,9.9,10.8,12.6,13.4,15.1
03:08,44,-0.2285,8.455,0.23587,5,5.5,5.8,6.7,7.2,8.5,9.9,10.9,12.7,13.5,15.2
03:09,45,-0.2292,8.4786,0.23747,5,5.5,5.8,6.7,7.2,8.5,10,10.9,12.8,13.6,15.3
03:10,46,-0.2298,8.5019,0.23904,5,5.5,5.8,6.7,7.3,8.5,10,11,12.8,13.7,15.4
03:11,47,-0.2304,8.525,0.2406,5,5.5,5.8,6.7,7.3,8.5,10.1,11,12.9,13.7,15.5
04:00,48,-0.231,8.5481,0.24215,5,5.5,5.8,6.7,7.3,8.5,10.1,11.1,13,13.8,15.6
04:01,49,-0.2316,8.5711,0.24367,5,5.5,5.8,6.7,7.3,8.6,10.1,11.1,13.1,13.9,15.7
04:02,50,-0.2321,8.5942,0.24517,5,5.5,5.8,6.7,7.3,8.6,10.2,11.2,13.1,14,15.8
04:03,51,-0.2326,8.6174,0.24665,5,5.5,5.8,6.7,7.3,8.6,10.2,11.2,13.2,14.1,16
04:04,52,-0.2331,8.6406,0.24811,5,5.5,5.9,6.7,7.3,8.6,10.2,11.3,13.3,14.2,16.1
04:05,53,-0.2336,8.6641,0.24954,5,5.6,5.9,6.7,7.3,8.7,10.3,11.3,13.3,14.2,16.2
04:06,54,-0.2341,8.6876,0.25095,5,5.6,5.9,6.7,7.4,8.7,10.3,11.4,13.4,14.3,16.3
04:07,55,-0.2346,8.7112,0.25233,5,5.6,5.9,6.8,7.4,8.7,10.4,11.4,13.5,14.4,16.4
04:08,56,-0.235,8.7349,0.25369,5,5.6,5.9,6.8,7.4,8.7,10.4,11.5,13.6,14.5,16.5
04:09,57,-0.2355,8.7586,0.25502,5,5.6,5.9,6.8,7.4,8.8,10.4,11.5,13.6,14.6,16.6
04:10,58,-0.2359,8.7824,0.25633,5,5.6,5.9,6.8,7.4,8.8,10.5,11.6,13.7,14.7,16.7
04:11,59,-0.2363,8.8061,0.25761,5,5.6,5.9,6.8,7.4,8.8,10.5,11.6,13.8,14.7,16.8
05:00,60,-0.2368,8.8298,0.25887,5,5.6,5.9,6.8,7.4,8.8,10.6,11.7,13.8,14.8,16.9
